experiment,metric,size_mb,records,median,unit
E1_hash,sha256,1,,430.0,MB/s
E1_hash,sha3_256,1,,366.6,MB/s
E1_hash,blake2b,1,,610.1,MB/s
E1_hash,sha256,16,,468.9,MB/s
E1_hash,sha3_256,16,,391.7,MB/s
E1_hash,blake2b,16,,658.4,MB/s
E1_hash,sha256,64,,464.3,MB/s
E1_hash,sha3_256,64,,393.3,MB/s
E1_hash,blake2b,64,,676.0,MB/s
E1_hash,sha256,256,,470.6,MB/s
E1_hash,sha3_256,256,,387.4,MB/s
E1_hash,blake2b,256,,678.8,MB/s
E1_hash,sha256,512,,459.8,MB/s
E1_hash,sha3_256,512,,392.8,MB/s
E1_hash,blake2b,512,,680.8,MB/s
E2_ed25519,sign,,,28643.0,ops/s
E2_ed25519,verify,,,10722.0,ops/s
E3_ledger,build,,100,0.0074,s
E3_ledger,verify,,100,0.0118,s
E3_ledger,build,,1000,0.0697,s
E3_ledger,verify,,1000,0.1166,s
E3_ledger,build,,5000,0.3523,s
E3_ledger,verify,,5000,0.5845,s
